source,target
Shane Black,Roger Allers
Gavin Hood,Peter Chelsom
NA,John McTiernan
Steven Spielberg,Sydney Pollack
Lana Wachowski,Phil Lord
Francis Lawrence,Chris Wedge
Jon Turteltaub,Spike Jonze
Nathan Greno,Adam Shankman
Mike Newell,Mick Jackson
Breck Eisner,David Twohy
NA,Joel Schumacher
Alfonso Cuarón,Matt Birch
Bryan Singer,Gary Winick
Darren Aronofsky,Chris Columbus
Bryan Singer,Mimi Leder
McG,Paul W.S. Anderson
Rob Cohen,John Lee Hancock
Tom Shadyac,Mark Waters
Matt Reeves,Luc Besson
Shawn Levy,Chuck Russell
Alfonso Cuarón,Chris Columbus
Bryan Singer,Seth Gordon
Martin Campbell,Daniel Espinosa
James Wan,Paul W.S. Anderson
Steven Spielberg,Alan J. Pakula
Rob Cohen,Renny Harlin
Robert Stromberg,Bibo Bergeron
Oliver Stone,Mark Dindal
Gore Verbinski,Stephen Hopkins
Martin Scorsese,Ben Stiller
Alex Proyas,Roger Donaldson
Louis Leterrier,David Twohy
Matt Birch,Chris Columbus
Jon Turteltaub,Brad Silberling
NA,David Twohy
Steve Hickner,Ron Clements
Darren Aronofsky,John McTiernan
Michael Bay,Andrew Davis
Stephen Sommers,John Lee Hancock
Jonathan Liebesman,Tony Scott
Dean Parisot,Steven Soderbergh
Paul Greengrass,Neill Blomkamp
Shane Black,Peter Segal
Joseph Kosinski,Andrew Davis
Chris Miller,Brad Silberling
NA,James Mangold
Anthony Russo,Todd Phillips
Oliver Stone,Peter Hyams
Phillip Noyce,Tim Story
Gore Verbinski,Terry Gilliam
Robert Zemeckis,John Milius
Jon Favreau,Brian De Palma
Martin Scorsese,Thor Freudenthal
Jon M. Chu,Brad Peyton
Joss Whedon,Stephen Hopkins
Michael Bay,Jon Amiel
Chris Weitz,Adam Shankman
Martin Campbell,Tarsem Singh
Dean DeBlois,Sergey Bodrov
Doug Liman,Sydney Pollack
Chris Columbus,Joel Schumacher
Carlos Saldanha,John McTiernan
Guy Ritchie,Paul Verhoeven
Bryan Singer,Stephen Hopkins
Ridley Scott,Albert Hughes
Martin Campbell,Jon Amiel
Robert Stromberg,Timur Bekmambetov
Steven Spielberg,JeanJacques Annaud
Doug Liman,Brian De Palma
Dan Scanlon,Gary Winick
McG,Jon Amiel
Martin Scorsese,Andrey Konchalovskiy
Michael Bay,Gary Winick
McG,Peter Segal
Robert Zemeckis,Nancy Meyers
Rob Cohen,Andrey Konchalovskiy
Brad Bird,Ben Stiller
Rob Minkoff,Paul Weitz
Darren Aronofsky,George Lucas
